"rgn_id","year","value"
1,1990,0.0634670364988123
5,1990,0.0634670364988123
4,1990,0.0634670364988123
2,1990,0.0634670364988123
3,1990,0.0634670364988123
1,1991,0.0677278070551251
5,1991,0.0677278070551251
4,1991,0.0677278070551251
2,1991,0.0677278070551251
3,1991,0.0677278070551251
1,1992,0.0690207601233494
5,1992,0.0690207601233494
4,1992,0.0690207601233494
2,1992,0.0690207601233494
3,1992,0.0690207601233494
1,1993,0.0716312722868996
5,1993,0.0716312722868996
4,1993,0.0716312722868996
2,1993,0.0716312722868996
3,1993,0.0716312722868996
1,1994,0.0719327697418609
5,1994,0.0719327697418609
4,1994,0.0719327697418609
2,1994,0.0719327697418609
3,1994,0.0719327697418609
1,1995,0.0709286064746118
5,1995,0.0709286064746118
4,1995,0.0709286064746118
2,1995,0.0709286064746118
3,1995,0.0709286064746118
1,1996,0.0703215079939048
5,1996,0.0703215079939048
4,1996,0.0703215079939048
2,1996,0.0703215079939048
3,1996,0.0703215079939048
1,1997,0.0701339478029591
5,1997,0.0701339478029591
4,1997,0.0701339478029591
2,1997,0.0701339478029591
3,1997,0.0701339478029591
1,1998,0.0746748387718503
5,1998,0.0746748387718503
4,1998,0.0746748387718503
2,1998,0.0746748387718503
3,1998,0.0746748387718503
1,1999,0.0712021655589481
5,1999,0.0712021655589481
4,1999,0.0712021655589481
2,1999,0.0712021655589481
3,1999,0.0712021655589481
1,2000,0.0649822616968376
5,2000,0.0649822616968376
4,2000,0.0649822616968376
2,2000,0.0649822616968376
3,2000,0.0649822616968376
1,2001,0.0661039579972296
5,2001,0.0661039579972296
4,2001,0.0661039579972296
2,2001,0.0661039579972296
3,2001,0.0661039579972296
1,2002,0.0648490767816137
5,2002,0.0648490767816137
4,2002,0.0648490767816137
2,2002,0.0648490767816137
3,2002,0.0648490767816137
1,2003,0.0662158751835817
5,2003,0.0662158751835817
4,2003,0.0662158751835817
2,2003,0.0662158751835817
3,2003,0.0662158751835817
1,2004,0.0643688876889964
5,2004,0.0643688876889964
4,2004,0.0643688876889964
2,2004,0.0643688876889964
3,2004,0.0643688876889964
1,2005,0.0705769803733149
5,2005,0.0705769803733149
4,2005,0.0705769803733149
2,2005,0.0705769803733149
3,2005,0.0705769803733149
1,2006,0.0676071361114959
5,2006,0.0676071361114959
4,2006,0.0676071361114959
2,2006,0.0676071361114959
3,2006,0.0676071361114959
1,2007,0.0685462451607389
5,2007,0.0685462451607389
4,2007,0.0685462451607389
2,2007,0.0685462451607389
3,2007,0.0685462451607389
1,2008,0.0718416872644582
5,2008,0.0718416872644582
4,2008,0.0718416872644582
2,2008,0.0718416872644582
3,2008,0.0718416872644582
1,2009,0.0730362116381909
5,2009,0.0730362116381909
4,2009,0.0730362116381909
2,2009,0.0730362116381909
3,2009,0.0730362116381909
1,2010,0.0708867438740187
5,2010,0.0708867438740187
4,2010,0.0708867438740187
2,2010,0.0708867438740187
3,2010,0.0708867438740187
1,2011,0.0715555804614436
5,2011,0.0715555804614436
4,2011,0.0715555804614436
2,2011,0.0715555804614436
3,2011,0.0715555804614436
1,2012,0.0774539196537977
5,2012,0.0774539196537977
4,2012,0.0774539196537977
2,2012,0.0774539196537977
3,2012,0.0774539196537977
1,2013,0.0794545094733515
5,2013,0.0794545094733515
4,2013,0.0794545094733515
2,2013,0.0794545094733515
3,2013,0.0794545094733515
