"rgn_id","sciname","popn_trend"
1,"Alopias vulpinus","Decreasing"
5,"Alopias vulpinus","Decreasing"
4,"Alopias vulpinus","Decreasing"
2,"Alopias vulpinus","Decreasing"
3,"Alopias vulpinus","Decreasing"
1,"Balaenoptera acutorostrata","Stable"
5,"Balaenoptera acutorostrata","Stable"
4,"Balaenoptera acutorostrata","Stable"
2,"Balaenoptera acutorostrata","Stable"
3,"Balaenoptera acutorostrata","Stable"
1,"Balaenoptera musculus","Increasing"
5,"Balaenoptera musculus","Increasing"
4,"Balaenoptera musculus","Increasing"
2,"Balaenoptera musculus","Increasing"
3,"Balaenoptera musculus","Increasing"
1,"Cetorhinus maximus","Decreasing"
5,"Cetorhinus maximus","Decreasing"
4,"Cetorhinus maximus","Decreasing"
2,"Cetorhinus maximus","Decreasing"
3,"Cetorhinus maximus","Decreasing"
1,"Chelonia mydas","Decreasing"
5,"Chelonia mydas","Decreasing"
4,"Chelonia mydas","Decreasing"
2,"Chelonia mydas","Decreasing"
3,"Chelonia mydas","Decreasing"
1,"Dermochelys coriacea","Decreasing"
5,"Dermochelys coriacea","Decreasing"
4,"Dermochelys coriacea","Decreasing"
2,"Dermochelys coriacea","Decreasing"
3,"Dermochelys coriacea","Decreasing"
1,"Eretmochelys imbricata","Decreasing"
5,"Eretmochelys imbricata","Decreasing"
4,"Eretmochelys imbricata","Decreasing"
2,"Eretmochelys imbricata","Decreasing"
3,"Eretmochelys imbricata","Decreasing"
1,"Galeocerdo cuvier","Unknown"
5,"Galeocerdo cuvier","Unknown"
4,"Galeocerdo cuvier","Unknown"
2,"Galeocerdo cuvier","Unknown"
3,"Galeocerdo cuvier","Unknown"
1,"Isurus oxyrinchus","Decreasing"
5,"Isurus oxyrinchus","Decreasing"
4,"Isurus oxyrinchus","Decreasing"
2,"Isurus oxyrinchus","Decreasing"
3,"Isurus oxyrinchus","Decreasing"
1,"Lepidochelys olivacea","Decreasing"
5,"Lepidochelys olivacea","Decreasing"
4,"Lepidochelys olivacea","Decreasing"
2,"Lepidochelys olivacea","Decreasing"
3,"Lepidochelys olivacea","Decreasing"
1,"Megaptera novaeangliae","Increasing"
5,"Megaptera novaeangliae","Increasing"
4,"Megaptera novaeangliae","Increasing"
2,"Megaptera novaeangliae","Increasing"
3,"Megaptera novaeangliae","Increasing"
1,"Prionace glauca","Unknown"
5,"Prionace glauca","Unknown"
4,"Prionace glauca","Unknown"
2,"Prionace glauca","Unknown"
3,"Prionace glauca","Unknown"
1,"Rhincodon typus","Decreasing"
5,"Rhincodon typus","Decreasing"
4,"Rhincodon typus","Decreasing"
2,"Rhincodon typus","Decreasing"
3,"Rhincodon typus","Decreasing"
