" ","score","status","future"
"Index",73.62,,70.56
"Food Provision",54.49,53.9,55.07
". Fisheries",27.75,26.51,29
". Mariculture",78.15,78.14,78.15
"Artisanal Fishing Opportunity",61.86,59.11,64.62
"Natural Products",72.67,69.79,75.54
"Carbon Storage",,74.14,
"Coastal Protection",57.25,79.96,34.54
"Tourism & Recreation",100,100,100
"Coastal Livelihoods & Economies",100,100,100
". Livelihoods",100,100,100
". Economies",100,100,100
"Sense of Place",78.28,80,76.56
". Iconic Species",56.56,60,53.12
". Lasting Special Places",100,100,100
"Clean Waters",59.98,61.2,58.77
"Biodiversity",78.04,86.13,69.95
". Habitats",77.57,89.82,65.33
". Species",78.51,82.45,74.57
